date,temperature_2m,precipitation_probability,precipitation,rain,showers
2024-09-25 22:00:00+00:00,13.9785,100.0,2.2,0.0,2.2
2024-09-25 23:00:00+00:00,14.0785,100.0,4.9,0.0,4.9
2024-09-26 00:00:00+00:00,14.8785,100.0,1.4,0.0,1.4
2024-09-26 01:00:00+00:00,15.0785,76.0,0.0,0.0,0.0
2024-09-26 02:00:00+00:00,15.0785,44.0,3.4,0.0,3.4
2024-09-26 03:00:00+00:00,15.2285,20.0,0.0,0.0,0.0
2024-09-26 04:00:00+00:00,15.0785,13.0,0.0,0.0,0.0
2024-09-26 05:00:00+00:00,15.028501,14.0,0.0,0.0,0.0
2024-09-26 06:00:00+00:00,14.778501,16.0,0.0,0.0,0.0
2024-09-26 07:00:00+00:00,14.6285,14.0,0.0,0.0,0.0
2024-09-26 08:00:00+00:00,14.7285,14.0,0.1,0.0,0.1
2024-09-26 09:00:00+00:00,15.6785,18.0,0.0,0.0,0.0
2024-09-26 10:00:00+00:00,17.1785,32.0,0.0,0.0,0.0
2024-09-26 11:00:00+00:00,17.7785,51.0,0.0,0.0,0.0
2024-09-26 12:00:00+00:00,18.6285,67.0,0.0,0.0,0.0
2024-09-26 13:00:00+00:00,18.828499,79.0,0.0,0.0,0.0
2024-09-26 14:00:00+00:00,18.1785,88.0,0.0,0.0,0.0
2024-09-26 15:00:00+00:00,18.3785,90.0,0.0,0.0,0.0
2024-09-26 16:00:00+00:00,17.328499,83.0,0.1,0.0,0.1
2024-09-26 17:00:00+00:00,16.5285,69.0,0.1,0.0,0.1
2024-09-26 18:00:00+00:00,14.3785,53.0,0.2,0.0,0.2
2024-09-26 19:00:00+00:00,13.8285,35.0,0.0,0.0,0.0
2024-09-26 20:00:00+00:00,13.8285,16.0,0.0,0.0,0.0
2024-09-26 21:00:00+00:00,13.4285,2.0,0.5,0.0,0.5
2024-09-26 22:00:00+00:00,13.3785,0.0,0.3,0.0,0.3
2024-09-26 23:00:00+00:00,12.528501,1.0,0.0,0.0,0.0
2024-09-27 00:00:00+00:00,12.278501,4.0,0.7,0.0,0.7
2024-09-27 01:00:00+00:00,11.5785,5.0,0.8,0.0,0.8
2024-09-27 02:00:00+00:00,11.3285,5.0,1.2,0.0,1.2
2024-09-27 03:00:00+00:00,10.9785,6.0,4.5,0.0,4.5
2024-09-27 04:00:00+00:00,10.778501,7.0,0.4,0.0,0.4
2024-09-27 05:00:00+00:00,10.778501,9.0,0.0,0.0,0.0
2024-09-27 06:00:00+00:00,10.528501,12.0,0.3,0.0,0.3
2024-09-27 07:00:00+00:00,10.778501,18.0,0.0,0.0,0.0
2024-09-27 08:00:00+00:00,11.0785,26.0,0.1,0.0,0.1
2024-09-27 09:00:00+00:00,11.3785,35.0,0.1,0.0,0.1
2024-09-27 10:00:00+00:00,11.4785,47.0,0.2,0.0,0.2
2024-09-27 11:00:00+00:00,12.4285,60.0,0.0,0.0,0.0
2024-09-27 12:00:00+00:00,11.8285,71.0,0.6,0.0,0.6
2024-09-27 13:00:00+00:00,12.0785,78.0,0.8,0.0,0.8
2024-09-27 14:00:00+00:00,13.9285,84.0,0.0,0.0,0.0
2024-09-27 15:00:00+00:00,13.028501,88.0,1.4,0.0,1.4
2024-09-27 16:00:00+00:00,13.6785,93.0,0.4,0.0,0.4
2024-09-27 17:00:00+00:00,13.028501,96.0,1.3,0.0,1.3
2024-09-27 18:00:00+00:00,13.028501,96.0,1.6,0.0,1.6
2024-09-27 19:00:00+00:00,13.0785,91.0,0.2,0.0,0.2
2024-09-27 20:00:00+00:00,12.778501,82.0,0.0,0.0,0.0
2024-09-27 21:00:00+00:00,12.7285,71.0,0.0,0.0,0.0
2024-09-27 22:00:00+00:00,12.0785,55.0,0.0,0.0,0.0
2024-09-27 23:00:00+00:00,12.1285,37.0,0.0,0.0,0.0
2024-09-28 00:00:00+00:00,11.9785,25.0,0.0,0.0,0.0
2024-09-28 01:00:00+00:00,11.3785,24.0,0.0,0.0,0.0
2024-09-28 02:00:00+00:00,10.7285,30.0,0.4,0.0,0.4
2024-09-28 03:00:00+00:00,10.3285,37.0,2.7,0.0,2.7
2024-09-28 04:00:00+00:00,10.7285,43.0,0.4,0.0,0.4
2024-09-28 05:00:00+00:00,11.1785,49.0,0.0,0.0,0.0
2024-09-28 06:00:00+00:00,10.9285,55.0,0.0,0.0,0.0
2024-09-28 07:00:00+00:00,11.1785,60.0,0.0,0.0,0.0
2024-09-28 08:00:00+00:00,11.9285,64.0,0.0,0.0,0.0
2024-09-28 09:00:00+00:00,12.9285,67.0,0.0,0.0,0.0
2024-09-28 10:00:00+00:00,13.3785,69.0,0.0,0.0,0.0
2024-09-28 11:00:00+00:00,13.4285,69.0,0.0,0.0,0.0
2024-09-28 12:00:00+00:00,12.3785,65.0,0.0,0.0,0.0
2024-09-28 13:00:00+00:00,11.3785,54.0,0.0,0.0,0.0
2024-09-28 14:00:00+00:00,10.3785,40.0,2.6,0.0,2.6
2024-09-28 15:00:00+00:00,10.8785,27.0,0.7,0.0,0.7
2024-09-28 16:00:00+00:00,12.8785,19.0,0.0,0.0,0.0
2024-09-28 17:00:00+00:00,11.8285,13.0,0.0,0.0,0.0
2024-09-28 18:00:00+00:00,10.1785,8.0,0.0,0.0,0.0
2024-09-28 19:00:00+00:00,8.9285,6.0,0.0,0.0,0.0
2024-09-28 20:00:00+00:00,8.3285,5.0,0.0,0.0,0.0
2024-09-28 21:00:00+00:00,7.7285004,4.0,0.0,0.0,0.0
